jumlah_siswa;jumlah_guru;rasio_guru_siswa;persentase_guru_bersertifikasi;rata_rata_nilai;prestasi_akademik;akreditasi;persentase_fasilitas_layak;kehadiran_siswa;persentase_lulusan_melanjutkan;status_sekolah
991;40;24.78;78.16;70.17;14;B;81.29;86.58;66.18;Unggul
267;15;17.8;90.18;76.18;15;A;72.59;91.02;86.3;Unggul
955;35;27.29;65.71;64.94;7;B;56.35;80.59;74.62;Tidak Unggul
308;18;17.11;81.65;87.36;13;B;84.99;93.51;82.25;Unggul
964;51;18.9;84.39;85.41;17;A;88.19;89.86;82.96;Unggul
377;18;20.94;79.64;76.01;14;A;87.25;88.82;85.01;Unggul
365;12;30.42;61.75;62.95;4;C;50.63;78.38;60.86;Tidak Unggul
845;41;20.61;73.31;71.02;11;B;67.35;90.08;71.7;Unggul
164;8;20.5;85.24;66.8;11;B;76.68;86.6;73.76;Tidak Unggul
306;10;30.6;71.71;68.79;5;C;63.3;85.34;62.32;Tidak Unggul
797;58;13.74;69.55;83.93;16;A;100.0;83.33;86.54;Unggul
410;16;25.62;64.9;77.07;8;B;55.67;84.64;65.27;Tidak Unggul
306;15;20.4;78.64;70.45;16;A;97.7;86.57;72.37;Tidak Unggul
196;9;21.78;81.36;79.26;11;B;76.81;84.19;69.74;Tidak Unggul
473;21;22.52;74.24;82.3;11;B;85.52;88.03;81.24;Unggul
993;59;16.83;80.14;85.84;17;A;84.97;91.9;76.74;Unggul
834;30;27.8;60.31;71.63;8;B;60.49;91.88;58.31;Tidak Unggul
279;21;13.29;87.98;87.79;16;A;79.29;89.38;93.74;Unggul
560;35;16.0;71.19;84.44;16;B;83.4;89.45;93.0;Unggul
244;11;22.18;68.36;70.9;11;B;59.96;84.23;78.81;Tidak Unggul
776;42;18.48;66.03;75.56;13;B;63.08;86.83;75.85;Tidak Unggul
904;42;21.52;74.02;77.0;13;B;73.32;92.15;80.89;Unggul
441;32;13.78;73.63;86.23;13;B;85.59;90.1;75.73;Unggul
943;66;14.29;88.58;89.9;16;A;78.92;96.8;82.04;Unggul
960;60;16.0;74.11;82.77;12;B;77.09;92.84;73.35;Unggul
432;31;13.94;98.9;87.88;19;A;88.52;96.54;93.25;Unggul
218;8;27.25;58.67;60.0;5;C;69.14;79.84;77.59;Tidak Unggul
809;36;22.47;63.38;79.75;12;B;76.9;81.35;72.57;Unggul
160;8;20.0;67.88;77.77;9;B;77.93;85.33;76.23;Tidak Unggul
403;20;20.15;76.36;77.46;12;B;83.38;84.75;80.08;Unggul
991;62;15.98;98.02;88.02;21;A;79.15;93.0;88.78;Unggul
699;32;21.84;62.05;67.71;10;B;51.58;83.33;71.73;Tidak Unggul
283;22;12.86;99.14;84.98;20;A;85.25;92.75;90.07;Unggul
861;47;18.32;71.17;72.05;10;B;83.27;87.06;79.24;Unggul
172;8;21.5;67.2;73.83;13;B;77.66;80.86;64.64;Tidak Unggul
964;75;12.85;90.58;89.88;17;A;83.87;91.6;88.35;Unggul
495;31;15.97;91.99;84.68;15;A;98.15;94.97;83.0;Unggul
451;11;41.0;66.84;62.68;5;C;69.23;84.82;62.6;Tidak Unggul
512;24;21.33;62.42;86.15;12;B;70.53;87.58;71.94;Tidak Unggul
545;26;20.96;72.42;74.67;13;B;80.35;80.61;78.24;Tidak Unggul
367;28;13.11;99.91;80.64;18;B;72.22;91.25;86.01;Unggul
290;17;17.06;54.21;74.44;12;A;76.58;85.34;79.77;Unggul
765;30;25.5;72.38;70.74;8;B;66.39;85.93;71.85;Tidak Unggul
359;19;18.89;77.35;82.83;14;B;81.19;91.13;87.46;Unggul
772;38;20.32;62.3;67.22;9;B;75.9;87.09;74.26;Unggul
765;59;12.97;88.48;83.65;15;B;89.78;86.79;81.72;Unggul
977;45;21.71;51.98;74.9;8;B;67.71;77.95;73.41;Tidak Unggul
832;65;12.8;86.84;93.01;21;A;90.84;94.5;95.76;Unggul
609;21;29.0;72.9;71.23;9;B;51.98;79.95;65.26;Tidak Unggul
505;20;25.25;71.85;72.68;13;C;53.1;83.59;57.12;Tidak Unggul
473;18;26.28;69.55;71.78;9;C;45.02;83.23;68.85;Tidak Unggul
282;14;20.14;72.55;80.17;11;B;73.89;82.57;82.71;Tidak Unggul
954;36;26.5;64.88;69.5;7;B;74.19;84.44;71.02;Tidak Unggul
989;42;23.55;67.78;70.66;12;B;53.87;88.58;74.57;Tidak Unggul
276;13;21.23;63.76;77.05;12;B;81.37;91.32;69.24;Tidak Unggul
255;11;23.18;80.48;82.6;14;B;86.72;84.35;67.3;Unggul
753;53;14.21;84.05;81.94;17;A;86.17;91.46;89.5;Unggul
948;64;14.81;83.68;87.54;14;A;91.14;87.49;80.67;Unggul
527;22;23.95;63.55;75.75;11;C;70.72;91.3;65.41;Tidak Unggul
200;13;15.38;73.6;86.66;15;A;72.11;85.59;80.59;Unggul
178;8;22.25;80.03;73.04;13;B;75.22;91.08;76.35;Tidak Unggul
611;29;21.07;52.86;78.82;12;B;85.29;85.04;75.04;Tidak Unggul
445;17;26.18;45.0;71.5;8;B;59.81;79.58;65.01;Tidak Unggul
446;17;26.24;75.01;82.08;9;C;71.28;83.52;73.47;Tidak Unggul
875;29;30.17;55.8;69.74;6;B;66.36;81.94;71.54;Tidak Unggul
928;51;18.2;76.49;81.23;12;A;86.06;82.64;78.9;Unggul
556;34;16.35;88.14;81.99;18;A;72.77;92.69;77.23;Unggul
918;44;20.86;78.55;75.8;10;B;82.66;84.91;75.52;Unggul
963;73;13.19;77.36;88.43;16;A;75.53;86.54;86.78;Unggul
762;56;13.61;84.39;86.25;21;A;100.0;97.18;94.5;Unggul
554;26;21.31;61.06;67.22;11;B;64.01;80.61;74.45;Tidak Unggul
495;26;19.04;76.6;85.35;14;B;70.18;90.33;79.06;Unggul
771;28;27.54;69.64;68.06;8;C;71.28;81.05;67.02;Tidak Unggul
569;35;16.26;85.33;82.61;12;A;87.26;81.89;67.07;Unggul
331;17;19.47;70.65;80.11;18;B;79.05;95.7;85.96;Tidak Unggul
974;64;15.22;98.15;80.04;14;A;80.19;87.26;87.02;Unggul
150;8;18.75;74.39;78.9;13;B;73.91;87.44;87.59;Unggul
980;37;26.49;60.15;69.3;7;C;56.41;78.69;67.87;Tidak Unggul
716;25;28.64;60.36;71.09;6;B;63.38;78.44;66.12;Tidak Unggul
520;24;21.67;65.67;73.56;12;B;73.77;87.71;70.94;Tidak Unggul
810;42;19.29;72.25;84.04;15;A;87.37;92.04;78.23;Unggul
580;28;20.71;88.07;79.8;14;B;72.67;82.94;68.45;Tidak Unggul
458;22;20.82;81.74;73.07;11;B;77.24;85.1;66.6;Tidak Unggul
286;15;19.07;78.77;82.5;13;B;84.72;92.48;80.49;Tidak Unggul
351;16;21.94;76.96;80.03;11;B;67.52;85.13;68.17;Unggul
585;31;18.87;79.88;81.85;15;B;76.4;89.99;77.45;Unggul
462;15;30.8;61.95;64.3;7;C;66.95;84.99;70.65;Tidak Unggul
266;13;20.46;62.6;73.64;8;B;64.26;80.41;56.46;Tidak Unggul
815;30;27.17;57.44;72.27;7;C;62.22;83.3;69.84;Tidak Unggul
952;44;21.64;59.55;67.53;7;B;56.09;85.91;74.94;Tidak Unggul
724;31;23.35;82.09;74.74;11;B;63.11;86.62;72.23;Tidak Unggul
393;29;13.55;92.5;82.82;18;A;79.85;91.91;89.33;Unggul
686;48;14.29;88.33;82.62;15;B;71.18;83.83;83.59;Unggul
751;28;26.82;72.79;81.0;10;B;56.79;86.38;72.49;Tidak Unggul
224;8;28.0;55.0;67.23;7;B;49.43;79.91;60.39;Tidak Unggul
955;73;13.08;93.96;93.03;20;A;99.0;97.34;98.0;Unggul
535;19;28.16;67.67;69.14;6;C;56.6;76.9;50.68;Tidak Unggul
359;22;16.32;89.79;83.59;16;A;97.18;97.4;84.84;Unggul
624;39;16.0;64.29;79.97;12;B;84.89;91.29;74.4;Unggul
567;27;21.0;60.23;81.32;14;B;69.79;82.99;72.8;Unggul
496;35;14.17;92.67;95.0;19;A;82.96;99.0;88.72;Unggul
678;45;15.07;75.16;78.74;16;A;80.82;85.64;71.3;Unggul
789;46;17.15;74.77;70.18;11;B;70.2;88.7;78.21;Unggul
912;37;24.65;65.11;77.64;9;B;77.36;85.43;76.45;Tidak Unggul
328;20;16.4;81.23;83.32;18;A;66.47;90.58;80.33;Unggul
331;15;22.07;62.35;75.07;11;C;75.23;89.59;76.06;Tidak Unggul
813;37;21.97;67.39;67.73;9;C;79.02;84.44;73.49;Tidak Unggul
174;16;10.88;91.58;91.02;18;A;85.21;90.06;87.8;Unggul
329;14;23.5;71.19;66.99;8;C;70.68;81.54;70.14;Tidak Unggul
859;66;13.02;78.68;85.93;21;A;82.24;96.99;91.05;Unggul
650;22;29.55;67.15;68.06;6;B;59.32;85.53;67.73;Tidak Unggul
310;14;22.14;68.71;81.37;11;B;67.97;90.02;85.72;Unggul
326;8;40.75;70.07;60.0;2;C;70.36;78.84;62.17;Tidak Unggul
434;28;15.5;92.63;80.91;20;A;100.0;92.36;86.16;Unggul
212;12;17.67;77.91;76.06;15;B;75.72;95.68;79.87;Tidak Unggul
811;53;15.3;100.0;95.0;17;A;97.96;96.12;84.8;Unggul
815;57;14.3;73.4;82.79;15;A;85.97;89.87;81.51;Unggul
305;17;17.94;79.52;76.77;16;B;79.05;90.95;79.14;Unggul
618;45;13.73;88.08;84.34;16;A;98.94;89.63;85.89;Unggul
198;8;24.75;77.91;71.17;4;B;57.57;80.39;52.88;Tidak Unggul
998;67;14.9;91.73;92.02;17;A;77.0;89.12;80.03;Unggul
233;11;21.18;74.78;65.0;8;B;61.32;83.74;68.93;Tidak Unggul
510;20;25.5;57.36;64.13;7;C;72.28;86.16;72.9;Tidak Unggul
838;43;19.49;66.19;74.88;12;B;67.17;83.54;79.4;Unggul
297;11;27.0;69.22;67.41;9;B;63.25;81.88;64.54;Tidak Unggul
779;33;23.61;60.0;72.42;14;B;68.54;82.89;65.21;Tidak Unggul
491;19;25.84;69.05;70.63;11;C;63.28;84.67;67.15;Tidak Unggul
625;36;17.36;78.46;85.76;10;A;71.67;90.81;71.79;Unggul
212;13;16.31;70.42;77.47;19;B;81.23;94.15;81.2;Unggul
850;30;28.33;72.76;72.86;8;B;81.33;85.14;72.55;Tidak Unggul
509;19;26.79;69.58;70.74;6;B;66.58;84.84;60.18;Tidak Unggul
710;36;19.72;67.49;67.06;11;B;72.43;88.62;70.52;Tidak Unggul
476;22;21.64;70.83;82.84;14;B;70.23;85.5;66.58;Tidak Unggul
918;36;25.5;54.31;72.11;9;B;59.74;79.87;70.22;Tidak Unggul
885;40;22.12;72.21;71.06;11;B;69.62;90.8;79.06;Tidak Unggul
290;21;13.81;71.89;93.01;19;B;86.41;89.44;83.53;Unggul
364;21;17.33;67.86;80.11;11;B;74.46;83.96;80.31;Unggul
584;18;32.44;62.03;67.49;7;C;67.34;82.47;71.08;Tidak Unggul
872;49;17.8;66.9;82.54;15;B;89.66;87.13;76.23;Unggul
467;14;33.36;47.74;66.11;5;C;54.36;75.87;64.41;Tidak Unggul
181;8;22.62;55.54;62.41;8;B;77.27;82.94;71.69;Tidak Unggul
819;40;20.48;81.99;68.59;12;B;72.08;85.98;76.86;Tidak Unggul
434;27;16.07;80.39;84.44;14;A;84.77;92.8;93.84;Unggul
454;28;16.21;91.46;74.21;18;A;82.79;91.58;88.56;Unggul
578;21;27.52;65.65;78.14;13;B;80.71;86.11;75.97;Tidak Unggul
626;22;28.45;54.58;60.0;3;C;51.16;78.91;57.73;Tidak Unggul
435;17;25.59;68.54;80.14;12;A;79.75;87.7;69.09;Unggul
293;15;19.53;52.62;86.3;12;B;92.27;87.8;75.01;Tidak Unggul
573;25;22.92;73.26;75.82;11;B;69.6;84.92;70.4;Tidak Unggul
168;8;21.0;76.4;61.36;16;B;56.01;86.89;83.54;Tidak Unggul
167;8;20.88;75.47;83.65;14;B;67.8;85.7;75.97;Tidak Unggul
918;68;13.5;64.58;80.87;19;A;80.11;91.68;88.22;Unggul
739;29;25.48;70.6;74.38;13;B;75.36;91.64;63.21;Tidak Unggul
520;22;23.64;67.28;70.92;11;B;82.68;87.4;67.52;Tidak Unggul
324;12;27.0;67.41;79.53;8;C;66.57;82.39;64.62;Tidak Unggul
343;27;12.7;88.12;89.87;21;A;88.1;90.94;87.38;Unggul
651;26;25.04;62.24;68.87;10;B;72.41;85.85;70.38;Tidak Unggul
262;8;32.75;67.55;75.13;5;B;62.42;85.59;63.17;Tidak Unggul
263;17;15.47;91.56;89.09;18;A;86.0;94.12;82.03;Unggul
371;27;13.74;79.0;78.14;17;B;80.72;93.39;87.8;Unggul
827;40;20.68;56.27;73.96;10;B;82.05;80.38;77.34;Tidak Unggul
980;54;18.15;68.82;83.01;16;A;83.53;91.17;85.53;Unggul
793;45;17.62;75.15;68.05;13;B;82.63;84.85;70.37;Tidak Unggul
413;15;27.53;76.25;74.84;10;C;69.8;85.43;68.24;Tidak Unggul
204;11;18.55;66.51;82.67;17;B;92.22;88.16;79.89;Unggul
792;34;23.29;59.22;82.65;10;B;75.23;84.14;72.65;Tidak Unggul
949;37;25.65;58.36;73.86;5;C;68.28;83.34;62.66;Tidak Unggul
927;51;18.18;56.92;77.7;14;B;78.53;85.22;81.46;Unggul
607;38;15.97;79.64;81.89;15;B;70.39;89.95;83.15;Unggul
311;15;20.73;81.21;70.42;13;B;67.84;92.59;81.47;Tidak Unggul
529;34;15.56;84.23;86.52;18;A;74.36;96.35;75.23;Unggul
236;14;16.86;70.45;76.58;12;B;84.66;89.76;65.98;Tidak Unggul
204;10;20.4;72.07;75.6;12;B;81.83;88.47;78.1;Tidak Unggul
625;44;14.2;76.84;86.12;19;A;84.94;91.58;79.65;Unggul
949;38;24.97;51.37;78.2;8;B;78.12;82.74;62.34;Tidak Unggul
327;21;15.57;81.43;91.17;17;A;93.4;94.34;87.32;Unggul
540;28;19.29;76.06;83.04;11;B;78.54;85.6;72.58;Unggul
498;31;16.06;83.19;79.26;15;B;91.21;91.07;80.04;Unggul
157;8;19.62;81.38;83.9;11;B;78.77;83.15;70.96;Unggul
982;53;18.53;75.79;73.97;12;B;64.74;93.33;82.09;Unggul
462;16;28.88;71.22;74.49;8;C;67.28;86.53;67.51;Tidak Unggul
908;49;18.53;77.95;82.42;14;A;82.82;87.92;80.82;Unggul
984;56;17.57;89.62;77.09;12;B;76.19;92.22;76.96;Unggul
592;30;19.73;75.71;82.78;17;A;76.04;91.84;89.23;Unggul
916;64;14.31;89.78;77.26;16;A;73.12;90.33;88.68;Unggul
477;23;20.74;71.43;73.85;10;B;64.18;83.8;73.69;Tidak Unggul
203;11;18.45;83.43;78.84;14;A;86.86;86.56;71.03;Unggul
910;35;26.0;72.6;84.92;9;C;75.7;86.7;70.67;Tidak Unggul
388;26;14.92;83.2;84.98;18;A;73.32;99.0;85.01;Unggul
378;17;22.24;70.64;68.52;9;B;74.74;84.47;63.11;Tidak Unggul
728;43;16.93;84.14;82.66;16;B;71.79;89.04;75.23;Unggul
200;8;25.0;73.34;69.26;10;B;67.89;84.32;67.91;Tidak Unggul
758;39;19.44;90.36;73.83;13;B;87.2;95.27;94.19;Unggul
753;27;27.89;60.31;67.07;7;C;56.49;82.19;53.98;Tidak Unggul
413;20;20.65;66.66;78.39;13;B;66.07;89.01;78.36;Tidak Unggul
567;43;13.19;79.14;85.22;14;A;58.87;85.03;79.2;Unggul
952;52;18.31;75.17;88.27;16;A;73.2;90.92;83.75;Unggul
245;18;13.61;84.87;95.0;20;A;88.06;93.12;98.0;Unggul
237;20;11.85;77.31;83.06;15;B;85.2;94.98;71.71;Unggul
227;11;20.64;63.48;78.02;11;B;67.25;83.15;67.39;Tidak Unggul
437;34;12.85;65.69;87.32;18;A;83.33;90.87;95.15;Unggul
269;18;14.94;95.76;73.57;18;A;82.3;94.62;88.34;Unggul
963;43;22.4;64.7;79.07;9;B;64.08;85.24;67.38;Tidak Unggul
640;32;20.0;62.22;81.48;13;B;92.54;86.34;75.77;Unggul
601;39;15.41;86.77;89.07;17;A;89.96;90.29;79.75;Unggul
649;34;19.09;82.92;77.83;15;A;72.38;95.31;81.71;Unggul
314;14;22.43;71.63;73.23;13;B;57.72;87.03;75.1;Tidak Unggul
331;21;15.76;68.19;80.46;19;A;81.52;90.4;80.62;Unggul
618;31;19.94;67.73;84.03;17;B;92.75;90.7;78.5;Unggul
884;56;15.79;95.44;69.99;12;A;83.18;83.88;80.24;Unggul
972;44;22.09;56.06;72.88;8;C;88.84;86.9;63.8;Tidak Unggul
156;10;15.6;65.48;89.25;15;B;75.92;88.21;77.44;Unggul
479;22;21.77;70.77;75.94;14;B;79.03;85.47;76.62;Tidak Unggul
924;34;27.18;74.72;62.62;11;B;57.27;84.92;67.24;Tidak Unggul
822;30;27.4;72.16;64.17;7;C;45.13;75.0;59.56;Tidak Unggul
300;19;15.79;82.05;86.48;16;A;84.76;87.52;84.2;Unggul
234;13;18.0;78.78;84.36;18;B;92.11;93.69;85.16;Unggul
296;17;17.41;68.4;81.71;13;A;94.16;92.16;78.11;Unggul
773;49;15.78;91.83;94.18;16;A;85.98;90.06;87.06;Unggul
530;34;15.59;75.74;79.74;13;B;70.89;92.3;82.0;Unggul
697;29;24.03;63.84;70.27;7;C;47.29;86.76;64.67;Tidak Unggul
434;18;24.11;75.99;73.17;12;B;69.2;82.95;72.99;Tidak Unggul
849;45;18.87;77.93;83.13;14;B;76.83;89.57;75.11;Unggul
231;10;23.1;65.28;79.61;10;C;62.68;82.29;66.42;Tidak Unggul
663;34;19.5;87.51;76.42;14;B;64.38;81.94;86.26;Unggul
964;67;14.39;73.87;86.82;17;A;89.33;90.34;94.88;Unggul
858;31;27.68;66.32;60.0;8;B;62.56;84.03;68.08;Tidak Unggul
672;42;16.0;81.0;76.01;14;A;83.24;86.93;77.24;Unggul
895;38;23.55;65.37;82.78;10;B;63.18;88.34;76.48;Unggul
535;20;26.75;72.35;70.45;8;B;65.34;84.94;77.58;Tidak Unggul
856;36;23.78;68.56;69.74;9;C;63.91;88.61;55.08;Tidak Unggul
620;27;22.96;75.12;67.35;10;C;69.97;78.96;66.79;Tidak Unggul
268;20;13.4;81.96;86.52;16;A;81.2;97.44;86.1;Unggul
545;35;15.57;79.76;82.32;18;B;77.41;94.85;81.54;Unggul
681;31;21.97;73.47;75.38;9;B;61.32;84.8;62.75;Tidak Unggul
410;22;18.64;71.81;77.24;12;B;75.36;91.8;70.84;Unggul
954;32;29.81;45.0;69.62;4;C;52.22;77.9;62.47;Tidak Unggul
405;26;15.58;81.38;78.43;15;B;89.47;92.75;71.43;Unggul
883;53;16.66;61.29;74.6;13;B;75.97;86.3;74.59;Unggul
375;20;18.75;79.29;75.68;18;B;78.72;89.33;78.63;Unggul
202;14;14.43;100.0;74.68;16;A;92.04;91.84;84.84;Unggul
649;30;21.63;75.79;75.85;9;B;81.08;82.63;70.29;Unggul
655;27;24.26;61.21;71.09;7;C;63.94;81.39;71.62;Tidak Unggul
513;25;20.52;66.54;81.69;9;C;86.22;86.44;75.17;Tidak Unggul
429;15;28.6;63.44;60.52;8;C;77.72;80.26;56.55;Tidak Unggul
742;25;29.68;56.53;60.0;4;C;53.88;79.83;50.3;Tidak Unggul
863;34;25.38;67.61;63.81;8;C;61.87;78.82;64.32;Tidak Unggul
307;24;12.79;93.02;81.87;18;A;85.94;88.5;83.32;Unggul
781;34;22.97;86.28;72.31;14;B;71.09;87.01;79.85;Tidak Unggul
208;12;17.33;66.34;77.08;15;B;76.6;89.33;77.11;Unggul
876;56;15.64;85.59;86.46;23;A;79.86;93.04;85.47;Unggul
277;18;15.39;83.1;81.57;15;A;80.41;89.14;80.24;Unggul
885;46;19.24;86.39;83.77;12;A;74.35;89.93;82.62;Unggul
870;63;13.81;89.24;86.94;18;A;91.75;95.47;85.62;Unggul
264;19;13.89;72.16;79.83;15;B;83.48;90.99;78.52;Unggul
358;30;11.93;83.46;87.71;15;B;81.44;90.62;75.33;Unggul
675;23;29.35;81.48;71.53;9;B;78.0;81.99;60.41;Tidak Unggul
670;45;14.89;79.24;76.93;18;B;75.68;87.73;77.33;Unggul
701;41;17.1;66.86;70.59;14;B;70.61;86.01;64.95;Unggul
386;22;17.55;71.61;70.15;13;B;67.44;87.01;67.32;Tidak Unggul
430;25;17.2;77.68;78.22;17;A;97.14;94.96;87.54;Unggul
508;20;25.4;77.43;84.65;13;B;70.43;85.27;75.57;Tidak Unggul
350;27;12.96;78.22;79.33;21;A;84.15;89.04;79.59;Unggul
907;46;19.72;80.54;73.95;9;B;81.75;81.75;65.32;Unggul
427;16;26.69;72.42;73.04;9;B;57.23;85.54;69.0;Tidak Unggul
384;11;34.91;64.55;64.3;4;C;50.95;82.44;70.77;Tidak Unggul
643;29;22.17;75.36;69.97;11;B;69.93;81.66;67.63;Tidak Unggul
153;8;19.12;84.22;82.2;17;B;74.67;92.99;77.82;Unggul
815;54;15.09;76.63;73.66;15;B;88.08;86.94;87.57;Unggul
591;34;17.38;71.4;76.05;16;B;69.8;88.32;87.04;Unggul
178;10;17.8;77.96;89.02;17;A;88.71;94.84;87.77;Unggul
258;10;25.8;76.73;67.97;10;B;62.52;83.92;75.58;Tidak Unggul
759;49;15.49;64.75;87.6;17;A;82.99;89.85;87.12;Unggul
876;57;15.37;61.91;87.24;14;A;86.91;90.97;77.25;Unggul
954;55;17.35;76.87;85.07;11;B;91.75;91.9;79.31;Unggul
224;12;18.67;80.72;81.39;11;A;63.57;87.49;73.6;Unggul
987;58;17.02;85.92;73.57;17;B;80.88;90.2;75.93;Unggul
295;8;36.88;52.5;60.0;6;C;68.16;80.11;63.27;Tidak Unggul
277;15;18.47;62.17;69.69;10;B;73.59;82.36;71.91;Tidak Unggul
191;13;14.69;71.86;75.11;14;B;82.31;93.35;78.6;Unggul
505;23;21.96;66.07;66.87;9;B;64.83;76.53;76.29;Tidak Unggul
190;12;15.83;77.92;79.07;15;B;80.2;92.08;84.65;Tidak Unggul
183;12;15.25;82.78;87.3;19;A;77.9;95.23;83.35;Unggul
166;8;20.75;83.93;79.4;15;B;79.06;90.99;73.69;Unggul
826;47;17.57;79.81;83.72;15;B;97.28;88.52;75.63;Unggul
302;18;16.78;88.91;82.05;18;A;84.93;92.78;87.1;Unggul
527;27;19.52;78.96;76.63;11;B;75.81;85.02;74.68;Unggul
737;55;13.4;73.02;82.47;13;B;63.62;88.13;79.59;Unggul
748;34;22.0;76.59;72.79;11;B;72.3;89.89;80.9;Unggul
778;30;25.93;68.63;74.11;8;C;69.35;82.88;68.81;Tidak Unggul
491;19;25.84;61.18;60.37;5;B;48.49;81.96;62.76;Tidak Unggul
176;9;19.56;81.85;78.48;16;B;83.93;93.66;84.6;Unggul
974;38;25.63;63.86;64.83;7;C;65.0;86.0;70.74;Tidak Unggul
436;23;18.96;68.21;81.85;15;A;62.76;88.74;77.77;Unggul
795;32;24.84;85.84;65.53;10;B;71.28;79.14;71.6;Tidak Unggul
880;56;15.71;84.08;73.93;13;B;74.02;87.73;72.12;Unggul
317;18;17.61;76.09;77.62;12;B;74.33;88.53;74.53;Unggul
759;35;21.69;69.82;72.11;10;B;77.16;82.6;66.44;Tidak Unggul
417;28;14.89;77.35;84.66;15;A;74.0;88.39;80.85;Unggul
898;33;27.21;51.15;70.49;5;C;63.76;79.62;67.28;Tidak Unggul
970;37;26.22;74.44;71.86;11;B;67.96;86.77;69.46;Tidak Unggul
604;35;17.26;80.04;80.52;16;A;80.38;87.58;79.56;Unggul
834;33;25.27;59.01;76.82;10;C;55.96;81.04;57.68;Tidak Unggul
550;38;14.47;80.06;86.21;15;A;90.58;87.32;83.09;Unggul
625;29;21.55;70.36;78.67;11;B;79.79;88.56;68.72;Tidak Unggul
851;41;20.76;66.79;82.36;13;B;69.36;87.38;66.48;Tidak Unggul
783;37;21.16;60.26;66.36;9;B;73.09;93.99;69.82;Tidak Unggul
707;27;26.19;56.28;75.84;6;C;61.92;79.84;60.47;Tidak Unggul
725;31;23.39;58.66;71.2;9;B;66.82;81.53;72.64;Tidak Unggul
279;10;27.9;59.15;76.6;9;B;58.15;86.64;72.28;Tidak Unggul
971;56;17.34;87.88;78.73;15;A;88.95;85.64;76.38;Unggul
512;16;32.0;50.51;69.33;4;C;54.54;86.48;66.87;Tidak Unggul
854;63;13.56;64.25;73.71;15;A;77.31;89.64;82.47;Unggul
968;31;31.23;62.4;64.17;7;C;62.34;76.01;60.57;Tidak Unggul
842;50;16.84;84.02;82.59;18;A;67.16;91.66;85.28;Unggul
441;32;13.78;88.02;85.5;16;A;74.35;91.16;89.31;Unggul
520;23;22.61;68.94;61.62;9;B;66.34;81.49;75.49;Tidak Unggul
943;56;16.84;75.21;79.24;19;A;87.86;91.1;97.06;Unggul
178;11;16.18;67.35;71.57;12;B;76.28;89.67;77.5;Tidak Unggul
298;18;16.56;89.61;81.17;19;A;83.04;89.39;89.46;Unggul
928;62;14.97;87.21;74.68;13;A;81.98;90.53;79.57;Unggul
445;26;17.12;66.29;79.17;14;A;67.33;86.51;78.0;Unggul
160;10;16.0;81.23;89.01;17;B;79.49;98.52;74.72;Unggul
661;34;19.44;65.91;72.4;13;B;80.17;90.49;61.44;Unggul
825;58;14.22;71.07;87.86;14;B;84.21;85.81;74.61;Unggul
262;12;21.83;68.61;73.09;9;B;79.67;83.64;73.7;Tidak Unggul
336;20;16.8;83.2;84.35;19;A;100.0;95.74;85.8;Unggul
956;37;25.84;47.96;74.55;8;C;60.04;75.0;59.66;Tidak Unggul
893;31;28.81;63.82;66.99;6;C;65.55;78.96;68.8;Tidak Unggul
376;21;17.9;82.03;77.61;15;A;75.01;89.11;78.53;Unggul
459;21;21.86;80.23;84.03;13;B;67.11;83.31;64.51;Unggul
247;12;20.58;70.81;78.13;11;B;80.6;88.53;71.05;Tidak Unggul
204;8;25.5;51.4;78.24;7;C;65.12;81.43;62.09;Tidak Unggul
772;32;24.12;59.93;66.87;7;C;60.81;79.75;60.04;Tidak Unggul
813;57;14.26;85.05;74.87;14;A;86.09;94.74;80.89;Unggul
907;38;23.87;64.27;66.05;10;C;62.82;85.62;67.06;Tidak Unggul
555;24;23.12;71.82;66.66;8;B;53.84;85.65;67.34;Tidak Unggul
218;11;19.82;57.95;72.21;10;B;74.92;84.96;68.84;Tidak Unggul
461;26;17.73;88.98;80.02;15;B;79.36;93.13;89.64;Unggul
438;17;25.76;72.88;68.44;9;B;78.25;91.31;77.72;Tidak Unggul
911;34;26.79;55.91;63.39;4;C;61.96;76.39;61.75;Tidak Unggul
697;45;15.49;84.89;79.52;13;B;57.14;85.89;83.34;Unggul
900;55;16.36;76.6;79.8;12;B;74.01;91.42;69.18;Unggul
297;17;17.47;66.96;77.79;12;A;68.99;89.82;66.42;Unggul
616;21;29.33;65.35;70.83;7;C;65.14;77.56;52.77;Tidak Unggul
888;38;23.37;72.66;77.98;15;A;71.73;89.43;77.98;Unggul
393;16;24.56;62.64;60.0;5;C;69.77;78.37;67.92;Tidak Unggul
640;33;19.39;64.35;76.25;12;B;73.16;87.57;67.36;Tidak Unggul
998;47;21.23;66.62;71.66;9;C;63.45;82.15;69.96;Tidak Unggul
656;35;18.74;74.03;86.95;17;B;87.88;96.27;88.79;Unggul
514;26;19.77;78.0;75.9;18;A;88.54;91.49;79.26;Unggul
631;28;22.54;73.22;81.68;11;B;65.06;87.28;71.88;Unggul
350;14;25.0;70.75;72.06;11;C;54.6;82.76;70.6;Tidak Unggul
303;8;37.88;46.08;64.54;5;C;56.9;80.12;53.58;Tidak Unggul
599;21;28.52;66.41;69.4;7;C;55.45;82.31;54.8;Tidak Unggul
650;34;19.12;82.75;83.38;12;B;80.0;87.19;74.6;Unggul
222;12;18.5;77.83;86.78;16;A;87.76;96.43;80.35;Unggul
